FR_CODE,STATION_NAME,SUBWAY_NAME,STATION_CODE,SUBWAY_ID,API_STATION_ID
0008,수서,GTX-A,X108,1032,1032000353
0009,성남,GTX-A,X109,1032,1032000354
0010,구성,GTX-A,X110,1032,1032000355
0011,동탄,GTX-A,X111,1032,1032000356
0201,시청,02호선,201,1002,1002000201
1958,대화,03호선,309,1003,1003000309
1957,주엽,03호선,310,1003,1003000310
100C,용산,경의중앙선,K110,1063,1063075110
1305,광운대,경춘선,P116,1067,1067080119
1306,청량리,경춘선,P117,1067,1067080116
1916,소요산,01호선,100,1001,1001000100
0405,진접,04호선,405,1004,1004000405
0202,을지로입구,02호선,202,1002,1002000202
1956,정발산,03호선,311,1003,1003000311
1955,마두,03호선,312,1003,1003000312
0406,오남,04호선,406,1004,1004000406
0408,별내별가람,04호선,408,1004,1004000408
0409,당고개,04호선,409,1004,1004000409
1307,회기,경춘선,P118,1067,1067080117
1501,판교,경강선,K409,1081,1081037409
1512,성남,경강선,K410,1081,1081037410
1915,동두천,01호선,101,1001,1001000101
0203,을지로3가,02호선,203,1002,1002000203
0204,을지로4가,02호선,204,1002,1002000204
1954,백석,03호선,313,1003,1003000313
1953,대곡,03호선,314,1003,1003000314
0410,상계,04호선,410,1004,1004000410
1008,이촌,경의중앙선,K111,1063,1063075111
1914,보산,01호선,102,1001,1001000102
1845,청량리,수인분당선,K209,1075,1075075209
108C,일산,서해선,S07,1093,1093004001
107C,풍산,서해선,S08,1093,1093004002
1308,중랑,경춘선,P119,1067,1067080118
0205,동대문역사문화공원,02호선,205,1002,1002000205
0206,신당,02호선,206,1002,1002000206
1952,화정,03호선,315,1003,1003000315
0411,노원,04호선,411,1004,1004000411
1913,동두천중앙,01호선,103,1001,1001000103
102C,왕십리,수인분당선,K210,1075,1075075210
1309,상봉,경춘선,P120,1067,1067080120
1310,망우,경춘선,P121,1067,1067080121
1912,지행,01호선,104,1001,1001000104
1502,이매,경강선,K411,1081,1081037411
1911,덕정,01호선,105,1001,1001000105
1910,덕계,01호선,106,1001,1001000106
0412,창동,04호선,412,1004,1004000412
0207,상왕십리,02호선,207,1002,1002000207
1951,원당,03호선,316,1003,1003000316
1909,양주,01호선,107,1001,1001000107
1009,서빙고,경의중앙선,K112,1063,1063075112
1010,한남,경의중앙선,K113,1063,1063075113
1011,옥수,경의중앙선,K114,1063,1063075114
1012,응봉,경의중앙선,K115,1063,1063075115
1013,왕십리,경의중앙선,K116,1063,1063075116
0413,쌍문,04호선,413,1004,1004000413
1503,삼동,경강선,K412,1081,1081037412
1908,녹양,01호선,108,1001,1001000108
1907,가능,01호선,109,1001,1001000109
1906,의정부,01호선,110,1001,1001000110
1905,회룡,01호선,111,1001,1001000111
0414,수유,04호선,414,1004,1004000414
0208,왕십리,02호선,208,1002,1002000208
1948,원흥,03호선,317,1003,1003000317
0415,미아,04호선,415,1004,1004000415
0416,미아사거리,04호선,416,1004,1004000416
1904,망월사,01호선,112,1001,1001000112
106C,백마,서해선,S09,1093,1093004003
1014,청량리,경의중앙선,K117,1063,1063075117
101C,회기,경의중앙선,K118,1063,1063075118
1311,신내,경춘선,P122,1067,1067080122
0417,길음,04호선,417,1004,1004000417
1504,경기광주,경강선,K413,1081,1081037413
1505,초월,경강선,K414,1081,1081037414
1903,도봉산,01호선,113,1001,1001000113
0209,한양대,02호선,209,1002,1002000209
0418,성신여대입구,04호선,418,1004,1004000418
1201,중랑,경의중앙선,K119,1063,1063075119
1202,상봉,경의중앙선,K120,1063,1063075120
1203,망우,경의중앙선,K121,1063,1063075121
1312,갈매,경춘선,P123,1067,1067080123
1313,별내,경춘선,P124,1067,1067080124
1314,퇴계원,경춘선,P125,1067,1067080125
0210,뚝섬,02호선,210,1002,1002000210
0419,한성대입구,04호선,419,1004,1004000419
0420,혜화,04호선,420,1004,1004000420
1204,양원,경의중앙선,K122,1063,1063075122
1847,서울숲,수인분당선,K211,1075,1075075211
1205,구리,경의중앙선,K123,1063,1063075123
1206,도농,경의중앙선,K124,1063,1063075124
1207,양정,경의중앙선,K125,1063,1063075125
1208,덕소,경의중앙선,K126,1063,1063075126
1315,사릉,경춘선,P126,1067,1067080126
1506,곤지암,경강선,K415,1081,1081037415
0211,성수,02호선,211,1002,1002000211
1950,삼송,03호선,318,1003,1003000318
0309,지축,03호선,319,1003,1003000319
0310,구파발,03호선,320,1003,1003000320
0421,동대문,04호선,421,1004,1004000421
1902,도봉,01호선,114,1001,1001000114
1209,도심,경의중앙선,K127,1063,1063075127
0422,동대문역사문화공원,04호선,422,1004,1004000422
0212,건대입구,02호선,212,1002,1002000212
0213,구의,02호선,213,1002,1002000213
0214,강변,02호선,214,1002,1002000214
0215,잠실나루,02호선,215,1002,1002000215
0216,잠실,02호선,216,1002,1002000216
0217,잠실새내,02호선,217,1002,1002000217
0218,종합운동장,02호선,218,1002,1002000218
1848,압구정로데오,수인분당선,K212,1075,1075075212
1901,방학,01호선,115,1001,1001000115
0219,삼성,02호선,219,1002,1002000219
0220,선릉,02호선,220,1002,1002000220
0311,연신내,03호선,321,1003,1003000321
0312,불광,03호선,322,1003,1003000322
0423,충무로,04호선,423,1004,1004000423
0424,명동,04호선,424,1004,1004000424
0425,회현,04호선,425,1004,1004000425
1210,팔당,경의중앙선,K128,1063,1063075128
1316,금곡,경춘선,P127,1067,1067080127
1022,창동,01호선,116,1001,1001000116
0221,역삼,02호선,221,1002,1002000221
0222,강남,02호선,222,1002,1002000222
0313,녹번,03호선,323,1003,1003000323
0426,서울,04호선,426,1004,1004000426
0427,숙대입구,04호선,427,1004,1004000427
1021,녹천,01호선,117,1001,1001000117
1211,운길산,경의중앙선,K129,1063,1063075129
1212,양수,경의중앙선,K130,1063,1063075130
0428,삼각지,04호선,428,1004,1004000428
0223,교대,02호선,223,1002,1002000223
1020,월계,01호선,118,1001,1001000118
1019,광운대,01호선,119,1001,1001000119
1018,석계,01호선,120,1001,1001000120
0429,신용산,04호선,429,1004,1004000429
0430,이촌,04호선,430,1004,1004000430
0224,서초,02호선,224,1002,1002000224
0225,방배,02호선,225,1002,1002000225
1017,신이문,01호선,121,1001,1001000121
1213,신원,경의중앙선,K131,1063,1063075131
1214,국수,경의중앙선,K132,1063,1063075132
1215,아신,경의중앙선,K133,1063,1063075133
1016,외대앞,01호선,122,1001,1001000122
0431,동작,04호선,431,1004,1004000431
0432,총신대입구(이수),04호선,432,1004,1004000432
0433,사당,04호선,433,1004,1004000433
1015,회기,01호선,123,1001,1001000123
0158,청량리,01호선,124,1001,1001000124
0157,제기동,01호선,125,1001,1001000125
0156,신설동,01호선,126,1001,1001000126
0159,동묘앞,01호선,127,1001,1001000127
0155,동대문,01호선,128,1001,1001000128
0226,사당,02호선,226,1002,1002000226
0434,남태령,04호선,434,1004,1004000434
1849,강남구청,수인분당선,K213,1075,1075075213
1850,선정릉,수인분당선,K214,1075,1075075214
1023,선릉,수인분당선,K215,1075,1075075215
1216,오빈,경의중앙선,K134,1063,1063075134
1217,양평,경의중앙선,K135,1063,1063075135
1218,원덕,경의중앙선,K136,1063,1063075136
1219,용문,경의중앙선,K137,1063,1063075137
1220,지평,경의중앙선,K138,1063,1063075138
1262,공덕,경의중앙선,K312,1063,1063075312
1263,서강대,경의중앙선,K313,1063,1063075313
1264,홍대입구,경의중앙선,K314,1063,1063075314
1265,가좌,경의중앙선,K315,1063,1063075315
1266,디지털미디어시티,경의중앙선,K316,1063,1063075316
1267,수색,경의중앙선,K317,1063,1063075317
1268,한국항공대,경의중앙선,K318,1063,1063075318
0154,종로5가,01호선,129,1001,1001000129
0153,종로3가,01호선,130,1001,1001000130
0227,낙성대,02호선,227,1002,1002000227
1450,선바위,04호선,435,1004,1004000435
1451,경마공원,04호선,436,1004,1004000436
1452,대공원,04호선,437,1004,1004000437
0152,종각,01호선,131,1001,1001000131
0151,시청,01호선,132,1001,1001000132
1269,강매,경의중앙선,K319,1063,1063075319
1270,행신,경의중앙선,K320,1063,1063075320
0150,서울,01호선,133,1001,1001000133
1002,남영,01호선,134,1001,1001000134
1271,능곡,경의중앙선,K321,1063,1063075321
1003,용산,01호선,135,1001,1001000135
1004,노량진,01호선,136,1001,1001000136
105C,곡산,서해선,S10,1093,1093004004
0300,대곡,경의중앙선,K322,1063,1063075322
1272,곡산,경의중앙선,K323,1063,1063075323
1273,백마,경의중앙선,K324,1063,1063075324
1453,과천,04호선,438,1004,1004000438
0228,서울대입구,02호선,228,1002,1002000228
0314,홍제,03호선,324,1003,1003000324
0315,무악재,03호선,325,1003,1003000325
0316,독립문,03호선,326,1003,1003000326
0317,경복궁,03호선,327,1003,1003000327
0318,안국,03호선,328,1003,1003000328
0319,종로3가,03호선,329,1003,1003000329
1454,정부과천청사,04호선,439,1004,1004000439
1455,인덕원,04호선,440,1004,1004000440
1456,평촌,04호선,441,1004,1004000441
1457,범계,04호선,442,1004,1004000442
1458,금정,04호선,443,1004,1004000443
1751,산본,04호선,444,1004,1004000444
1763,수리산,04호선,445,1004,1004000445
1752,대야미,04호선,446,1004,1004000446
1317,평내호평,경춘선,P128,1067,1067080128
0229,봉천,02호선,229,1002,1002000229
0230,신림,02호선,230,1002,1002000230
0231,신대방,02호선,231,1002,1002000231
0232,구로디지털단지,02호선,232,1002,1002000232
0233,대림,02호선,233,1002,1002000233
0234,신도림,02호선,234,1002,1002000234
0320,을지로3가,03호선,330,1003,1003000330
0321,충무로,03호선,331,1003,1003000331
0322,동대입구,03호선,332,1003,1003000332
0323,약수,03호선,333,1003,1003000333
0324,금호,03호선,334,1003,1003000334
0325,옥수,03호선,335,1003,1003000335
0326,압구정,03호선,336,1003,1003000336
0327,신사,03호선,337,1003,1003000337
0328,잠원,03호선,338,1003,1003000338
1753,반월,04호선,447,1004,1004000447
0235,문래,02호선,235,1002,1002000235
0236,영등포구청,02호선,236,1002,1002000236
0237,당산,02호선,237,1002,1002000237
0238,합정,02호선,238,1002,1002000238
0239,홍대입구,02호선,239,1002,1002000239
0240,신촌,02호선,240,1002,1002000240
0241,이대,02호선,241,1002,1002000241
0242,아현,02호선,242,1002,1002000242
0243,충정로,02호선,243,1002,1002000243
0244,용답,02호선,211-1,1002,1002002111
0245,신답,02호선,211-2,1002,1002002112
0250,용두,02호선,211-3,1002,1002002113
0246,신설동,02호선,211-4,1002,1002002114
0247,도림천,02호선,234-1,1002,1002002341
0248,양천구청,02호선,234-2,1002,1002002342
1005,대방,01호선,137,1001,1001000137
0249,신정네거리,02호선,234-3,1002,1002002343
0329,고속터미널,03호선,339,1003,1003000339
1754,상록수,04호선,448,1004,1004000448
1032,신길,01호선,138,1001,1001000138
1318,천마산,경춘선,P129,1067,1067080129
1319,마석,경춘선,P130,1067,1067080130
1006,영등포,01호선,139,1001,1001000139
1755,한대앞,04호선,449,1004,1004000449
1507,신둔도예촌,경강선,K416,1081,1081037416
1007,신도림,01호선,140,1001,1001000140
1756,중앙,04호선,450,1004,1004000450
1757,고잔,04호선,451,1004,1004000451
1758,초지,04호선,452,1004,1004000452
1759,안산,04호선,453,1004,1004000453
1760,신길온천,04호선,454,1004,1004000454
1024,한티,수인분당선,K216,1075,1075075216
1701,구로,01호선,141,1001,1001000141
1813,구일,01호선,142,1001,1001000142
1801,개봉,01호선,143,1001,1001000143
1802,오류동,01호선,144,1001,1001000144
1821,온수,01호선,145,1001,1001000145
1803,역곡,01호선,146,1001,1001000146
1814,소사,01호선,147,1001,1001000147
1804,부천,01호선,148,1001,1001000148
1822,중동,01호선,149,1001,1001000149
0330,교대,03호선,340,1003,1003000340
0331,남부터미널,03호선,341,1003,1003000341
1805,송내,01호선,150,1001,1001000150
103C,대곡,서해선,S11,1093,1093004005
1274,풍산,경의중앙선,K325,1063,1063075325
1275,일산,경의중앙선,K326,1063,1063075326
1276,탄현,경의중앙선,K327,1063,1063075327
1277,야당,경의중앙선,K328,1063,1063075328
1278,운정,경의중앙선,K329,1063,1063075329
1279,금릉,경의중앙선,K330,1063,1063075330
1280,금촌,경의중앙선,K331,1063,1063075331
1320,대성리,경춘선,P131,1067,1067080131
1321,청평,경춘선,P132,1067,1067080132
1322,상천,경춘선,P133,1067,1067080133
1815,부개,01호선,151,1001,1001000151
1806,부평,01호선,152,1001,1001000152
1807,백운,01호선,153,1001,1001000153
1025,도곡,수인분당선,K217,1075,1075075217
1026,구룡,수인분당선,K218,1075,1075075218
1027,개포동,수인분당선,K219,1075,1075075219
1028,대모산입구,수인분당선,K220,1075,1075075220
1030,수서,수인분당선,K221,1075,1075075221
1031,복정,수인분당선,K222,1075,1075075222
1851,가천대,수인분당선,K223,1075,1075075223
0332,양재,03호선,342,1003,1003000342
1282,월롱,경의중앙선,K333,1063,1063075333
1852,태평,수인분당선,K224,1075,1075075224
1283,파주,경의중앙선,K334,1063,1063075334
1323,가평,경춘선,P134,1067,1067080134
1324,굴봉산,경춘선,P135,1067,1067080135
1508,이천,경강선,K417,1081,1081037417
1808,동암,01호선,154,1001,1001000154
1816,간석,01호선,155,1001,1001000155
1853,모란,수인분당선,K225,1075,1075075225
1854,야탑,수인분당선,K226,1075,1075075226
1860,이매,수인분당선,K227,1075,1075075227
1855,서현,수인분당선,K228,1075,1075075228
1856,수내,수인분당선,K229,1075,1075075229
1857,정자,수인분당선,K230,1075,1075075230
1858,미금,수인분당선,K231,1075,1075075231
1859,오리,수인분당선,K232,1075,1075075232
1862,죽전,수인분당선,K233,1075,1075075233
1861,보정,수인분당선,K234,1075,1075075234
1863,구성,수인분당선,K235,1075,1075075235
1864,신갈,수인분당선,K236,1075,1075075236
1865,기흥,수인분당선,K237,1075,1075075237
1866,상갈,수인분당선,K238,1075,1075075238
1867,청명,수인분당선,K239,1075,1075075239
1868,영통,수인분당선,K240,1075,1075075240
1869,망포,수인분당선,K241,1075,1075075241
1870,매탄권선,수인분당선,K242,1075,1075075242
1871,수원시청,수인분당선,K243,1075,1075075243
1284,문산,경의중앙선,K335,1063,1063075335
104C,능곡,서해선,S12,1093,1093004006
1325,백양리,경춘선,P136,1067,1067080136
1761,정왕,04호선,455,1004,1004000455
1809,주안,01호선,156,1001,1001000156
1823,도화,01호선,157,1001,1001000157
1810,제물포,01호선,158,1001,1001000158
1817,도원,01호선,159,1001,1001000159
1811,동인천,01호선,160,1001,1001000160
1872,매교,수인분당선,K244,1075,1075075244
1846,수원,수인분당선,K245,1075,1075075245
1873,고색,수인분당선,K246,1075,1075075246
1874,오목천,수인분당선,K247,1075,1075075247
1875,어천,수인분당선,K248,1075,1075075248
1876,야목,수인분당선,K249,1075,1075075249
1877,사리,수인분당선,K250,1075,1075075250
1812,인천,01호선,161,1001,1001000161
1917,청산,01호선,100-1,1001,1001001001
1918,전곡,01호선,100-2,1001,1001001002
1919,연천,01호선,100-3,1001,1001001003
1702,가산디지털단지,01호선,P142,1001,1001080142
1714,독산,01호선,P143,1001,1001080143
1703,금천구청,01호선,P144,1001,1001080144
0333,매봉,03호선,343,1003,1003000343
0334,도곡,03호선,344,1003,1003000344
1830,한대앞,수인분당선,K251,1075,1075075251
1286,운천,경의중앙선,K336,1063,1063075336
1762,오이도,04호선,456,1004,1004000456
1509,부발,경강선,K418,1081,1081037418
1750,광명,01호선,P144-1,1001,1001075410
1704,석수,01호선,P145,1001,1001080145
1705,관악,01호선,P146,1001,1001080146
1706,안양,01호선,P147,1001,1001080147
1707,명학,01호선,P148,1001,1001080148
1708,금정,01호선,P149,1001,1001080149
1831,중앙,수인분당선,K252,1075,1075075252
1832,고잔,수인분당선,K253,1075,1075075253
1709,군포,01호선,P150,1001,1001080150
1729,당정,01호선,P151,1001,1001080151
1710,의왕,01호선,P152,1001,1001080152
0335,대치,03호선,345,1003,1003000345
1980,김포공항,서해선,S13,1093,1093004007
1981,원종,서해선,S14,1093,1093004008
2511,방화,05호선,510,1005,1005000510
2512,개화산,05호선,511,1005,1005000511
2513,김포공항,05호선,512,1005,1005000512
2514,송정,05호선,513,1005,1005000513
1285,임진강,경의중앙선,K337,1063,1063075337
1326,강촌,경춘선,P137,1067,1067080137
1327,김유정,경춘선,P138,1067,1067080138
1328,남춘천,경춘선,P139,1067,1067080139
1510,세종대왕릉,경강선,K419,1081,1081037419
1711,성균관대,01호선,P153,1001,1001080153
1833,초지,수인분당선,K254,1075,1075075254
1834,안산,수인분당선,K255,1075,1075075255
1835,신길온천,수인분당선,K256,1075,1075075256
1836,정왕,수인분당선,K257,1075,1075075257
1800,오이도,수인분당선,K258,1075,1075075258
1878,달월,수인분당선,K259,1075,1075075259
1712,화서,01호선,P154,1001,1001080154
1713,수원,01호선,P155,1001,1001080155
1715,세류,01호선,P156,1001,1001080156
2515,마곡,05호선,514,1005,1005000514
2516,발산,05호선,515,1005,1005000515
